bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Bin_6	2578032	424	10274	38.52296487426546	0.0	0.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Bin_60	8423	5	1617	61.88294233257835	0.0	0.0							
Bin_61	3364	3	1062	43.51762557106082	0.0	0.0							
Bin_62	18998	9	2471	51.33140793114029	0.0	0.0							
Bin_63	9331099	4376	2408	36.54795343573895	19.718309859154928	7.042253521126761	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
Bin_64	5570	3	1834	42.46358816263114	0.0	0.0							
Bin_65	3737177	195	36453	55.49928503753594	50.70422535211268	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
Bin_66	3303	3	1108	57.55812406343542	0.0	0.0							
Bin_67	1130810	157	14811	51.534451135211455	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	
Bin_68	2564	1	2564	40.79563182527301	0.0	0.0							
Bin_7	6648540	2577	2967	72.35640850534764	97.1830985915493	9.859154929577464	Bacteria	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	
Bin_8	1486107	1019	1409	37.94997789761535	29.577464788732396	1.408450704225352	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus siralis
Bin_9	2936064	968	3643	69.96079126310131	92.95774647887323	1.408450704225352	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	
