bins	D_CDB_R1FCY_ROOT_R1	D_CDB_R2FCY_ROOT_R2	D_CDB_R4FCY_ROOT_R4	Fecal_1	Fecal_2	Fecal_3
Bin_14	7.997252653289459	5.844872746304723	3.9941521444655756	13.178554469290408	13.466890654169182	13.006944726152211
Bin_15	18.34260086848537	9.887128540580731	0.0	0.32429781613104797	0.0	0.14237465098436253
Bin_16	5.665034518885625	10.288915793073393	3.6676164821934982	0.0	0.0	0.2529724260055654
Bin_17	2.4419238878531555	3.6460922831515292	2.571541699800417	0.09224625302816065	0.07734493523130394	38.30490177666283
Bin_18	4.112776855251772	2.8287765745959725	6.2679795121266695	0.0	0.0	0.0
Bin_19	2.8183318522280056	3.647750835766578	1.853497524438238	0.0	0.0	0.0
Bin_2	0.0	0.0	0.0	0.0	0.0	0.0
Bin_20	86.10737381190053	92.40050345037108	95.22156156416823	0.0	0.0	0.0
Bin_21	8.007271566374982	0.0011347637913517383	0.006052073553875937	0.0	0.004160800568289707	0.0
Bin_22	8.132434664783489	6.643148113574149	0.03879177460118766	3.4991995510135654	3.483319877200214	3.544116342657046
Bin_23	1.1907562463877974	0.5982824067216738	0.0	0.0	0.0	0.04356425291662673
Bin_24	8.78192666085674	8.605952939599115	6.209358450090501	0.0	0.0	0.0
Bin_25	2.415590823788261	2.922167216721672	1.605675273409694	0.0	0.0	11.378251795767811
Bin_26	2.7829380394431142	3.2181385413100303	4.063011365170109	0.0	0.0	0.0
Bin_27	1.7838202680551538	0.0	0.0	0.0	0.1402512250067934	0.08327416484778359
Bin_28	0.4205337845106649	0.6739209485392896	2.6983510274627234	0.0	0.0	0.0
Bin_29	27.64596505709987	27.20194376357527	26.111671412000184	0.0	0.0	0.39607107469363156
Bin_3	35.887318089648666	35.66656591974537	35.00430941003552	0.0	0.0	0.2492085043048829
Bin_30	10.895994043546837	14.068465609058242	10.193685927771325	0.0	0.0	0.02348232228180575
Bin_31	7.264687302590019	8.528111181301327	73.9102969046115	0.0	0.0	0.0
Bin_32	3.417861080485116	3.528114663726571	7.056229327453142	2.4255788313120177	4.410143329658214	3.08710033076075
Bin_33	29.613649735242205	0.0	0.0	0.0	13.139831339478329	3.333987056285546
Bin_34	19.909310577675026	21.774560136328795	18.567302418117468	0.004438428456047044	0.012698836971467932	0.012452257612798652
Bin_35	2.6869320433584516	3.3183688079519578	4.754183616613624	0.0	0.0	0.0
Bin_36	6.549503698750871	5.5535652902894554	12.080346122439508	0.01281182904088714	0.01571262052184272	0.01716301626232051
Bin_37	45.569244470832714	44.084904260056405	26.421255751818318	54.92058779872347	56.108059967344516	54.17841769333531
Bin_38	0.3685315755072524	0.0	0.0	0.0	0.0	0.0
Bin_39	0.0	5.662319835277969	0.0	0.0	0.0	4.547014413177762
Bin_4	1.7797664397457125	0.25249281671132945	0.6686220930334856	0.0	0.0	0.0
Bin_40	28.308572164830622	0.007273528305454939	0.0023379198124676586	0.0	0.0	0.0
Bin_41	0.0	0.07066596785876228	0.8715469369247348	0.0	0.0	0.0
Bin_42	0.0	0.0910995718320124	1.3118338343809783	0.0	0.0	0.0
Bin_43	0.09078292015642173	1.781270933372214	0.0889489217694233	0.0	0.0	0.0
Bin_44	0.0	0.0	22.848034006376196	0.0	0.0	0.0
Bin_45	0.0	0.0	14.014555468135326	0.983477576711251	0.6392604248623132	2.065302911093627
Bin_46	57.480980557903635	24.2603550295858	37.785291631445475	0.0	0.0	0.0
Bin_47	4.761484877876731	1.3667225112423949	0.0	27.995767568997444	19.48681774093995	26.584957234811746
Bin_48	0.0	1.7558261504081725	0.15962055912801568	0.0	0.0	0.0
Bin_49	9.926470588235293	65.25735294117646	16.544117647058822	0.0	0.0	0.0
Bin_5	0.0	14.086052978194058	0.0	0.019256395048795706	0.0	0.0
Bin_50	151.71693432562998	107.5858467162815	58.62384123253688	0.0	0.0	0.0
Bin_51	3.8806729196645806	0.13291954899819114	0.07801799615111218	1.4101030415460278	0.6501499679259349	2.5803729838127105
Bin_52	0.010836855875912581	14.302279193981752	0.005418427937956291	2.3539682872958863	2.3417768244354846	2.2737078234649086
Bin_53	24.606871209067855	23.53662607702212	13.72054720694628	0.0	0.0	52.21684241465204
Bin_54	0.0	0.0	0.0	30.969030969030968	32.967032967032964	33.96603396603397
Bin_55	0.0	0.0	0.12112892154883514	0.0	0.0	0.0
Bin_56	0.0	0.0	27.964601769911503	0.0	0.0	0.0
Bin_57	0.0	0.0	0.5154639175257731	0.0	0.0	0.0
Bin_58	0.0048852152070531845	13.53559900732427	0.0	0.01643208751463344	0.05018448349063726	0.0
Bin_59	29.752373053929826	25.701475939028157	23.58527921970025	0.0	0.0	0.0
Bin_6	1.9569190762566175	2.6803391113841877	2.2532691603517723	0.037625599682238234	0.04615924084728196	0.820005337404656
Bin_60	67.79057342989434	26.475127626736317	1.780838181170604	0.0	0.0	0.0
Bin_61	12.782401902497027	21.997621878715815	14.26872770511296	0.0	0.0	0.0
Bin_62	80.11369617854511	71.95494262553953	65.69112538161912	0.0	0.0	2.473944625750079
Bin_63	7.694699198883218	13.277428521549284	9.037734997774646	0.0	0.0	0.0
Bin_64	23.518850987432675	31.597845601436266	11.8491921005386	0.0	0.0	70.55655296229803
Bin_65	0.39735875501749046	1.158360976747957	0.33153366832772435	15.32413369770819	15.065917402360125	14.774520982013964
Bin_66	22.40387526491069	168.93732970027247	71.75295186194369	0.0	0.0	29.97275204359673
Bin_67	9.219055367391515	5.5181683925681595	5.31300572156242	1.8252403144648526	0.7596324758359052	1.39280692600879
Bin_68	0.0	0.0	0.0	0.0	0.0	24.180967238689547
Bin_7	0.001203271695740719	0.0	1.3951935312113637	0.0	0.0	0.0
Bin_8	0.0	0.04643003498402201	0.10833674829605136	0.0	0.0	0.0
Bin_9	0.12022898683407446	0.00749302467521144	0.04461755602057721	0.0	0.0	0.0
