bins	D_CDB_R1FCY_ROOT_R1	D_CDB_R2FCY_ROOT_R2	D_CDB_R4FCY_ROOT_R4	Fecal_1	Fecal_2	Fecal_3
Bin_0	0.768986858190709	0.0	0.7232961491442543	0.0	0.0	0.6104828850855746
Bin_1	0.0	0.0	1.0	0.0	0.0	0.0
Bin_10	0.3805386620330148	1.0	0.0	0.0	0.0	0.0
Bin_11	0.9992150706436421	1.0	0.9992150706436421	0.0	0.0	0.2370486656200942
Bin_12	0.9797433407436538	0.05327405077005803	0.10984663044437845	0.09552892833925891	0.09054501970289162	0.9461079766615035
Bin_13	0.9880936088682085	0.9995894347885589	0.9781031887231422	0.0	0.0	0.9040645955932667
Bin_14	0.8254297402269941	0.9877984080660954	0.829530278481053	0.20124254998954036	0.15310989466383182	0.14831396907286196
Bin_15	0.9750290681579094	0.851590245754467	0.0248127377854414	0.00817863272876838	0.004635085859824246	0.006762795921757219
Bin_16	0.9329187745686772	0.986798031748765	0.8528588060765622	0.000825667172450287	0.00025998600186996444	0.03224697073984519
Bin_17	0.9792639884346852	0.9902947480660218	0.9880020738849912	0.5217753193494321	0.09648697885006294	0.9727260943835278
Bin_18	0.715777533503286	0.5569357064340342	0.6829945973758683	0.0016161096428654958	0.0015669948780316673	0.022682835559089738
Bin_19	0.48882400236976853	0.9275527908256104	0.29458761795946004	0.0	0.008920485802547501	0.019736786424611737
Bin_2	0.8218506774286538	0.6883251657538195	0.4456039204381666	0.0	0.0	0.0
Bin_20	0.9378065188142876	0.9559480925307061	0.8915411657480145	0.0	0.007030944837463652	0.052818888069094225
Bin_21	0.9848395557475408	0.24736488934918271	0.2874995933763081	0.0001108285969553531	5.7116444164704155e-05	5.6359934970469665e-05
Bin_22	0.9935857460418211	0.9340108812062019	0.004867120023792288	0.05083015531908957	0.048984483517012005	0.048711353127422356
Bin_23	0.2802749775644097	0.9709484518716656	0.0012459376334155246	0.0038568885248853532	0.001054254920582367	0.001179139112276697
Bin_24	0.8305373064289067	0.9277837366762753	0.8722598377689884	0.0012150566467788429	0.0012569551518401823	0.01020647583294228
Bin_25	0.6203386882805928	0.7083191775059859	0.6151020432925646	0.007574378761405552	0.016280212580081537	0.6010746295217757
Bin_26	0.911434682487461	0.909404764682093	0.8866199480617577	0.0	3.688760919556797e-05	0.0
Bin_27	0.9992373839640256	0.01854822450714843	0.060912860160762965	0.0006135991094047212	0.0007056389758154294	0.000714404677378354
Bin_28	0.35824232881474377	0.24644969020085156	0.9571971289900699	0.0007183748369653642	0.0009708729232254674	0.0011709154211428027
Bin_29	0.9952896561629238	0.9969055672017783	0.9922833021354625	0.0014245635934959553	0.0010995676658638312	0.4889101799448153
Bin_3	0.9752356594087205	0.9795812865971096	0.9739577113001398	0.009489325209768456	0.0034384737401928047	0.2810696822332876
Bin_30	0.9303464212400454	0.9631709741990194	0.940115951580827	0.001287302872536481	0.0011603607788624516	0.02336206135095667
Bin_31	0.8360707517372078	0.9687302590018951	0.9977890082122552	0.0	0.0	0.04769425142135186
Bin_32	0.4180815876515987	0.1424476295479603	0.9979051819184124	0.019294377067254686	0.020286659316427785	0.01962513781697905
Bin_33	1.0	0.14473426161992548	0.32928025102961367	0.060404000784467546	0.09354775446165915	0.09040988429103745
Bin_34	0.9937161716236721	0.994586350180416	0.992012184965588	0.0016249579736305568	0.021821780083513962	0.143814205412195
Bin_35	0.9444162396502069	0.9569026619035111	0.9551382896014647	0.00027689167286192446	0.0012195608652756495	4.238453539897615e-05
Bin_36	0.9720926938248434	0.9841989053379882	0.9996468286371937	0.00018226639805337552	0.00038314620810954935	0.0005978047777002622
Bin_37	0.9465637524120528	1.0	0.9041116223838503	0.9091583791004898	0.9327593884518331	0.9176191183019148
Bin_38	1.0	0.08141766448329092	0.0016131948210883502	0.0	0.0	0.0
Bin_39	0.0	0.9998284145504461	0.0	0.025909402882635553	0.012954701441317776	0.04864447494852436
Bin_4	0.9837586415006695	0.16368836579962803	0.2856793464394994	0.0002885632190986622	0.0	0.0011956018742532988
Bin_40	0.9990318414287703	0.40475600429761616	0.4607458068109319	0.00037172925018235775	0.0001836565897127372	0.00011767529722753882
Bin_41	0.21836961834488525	0.7832262547625918	0.8027065065689906	0.0	0.0	0.0
Bin_42	0.0	0.1529744010203152	0.9995627220552064	0.0	0.0	0.0
Bin_43	0.2872009379067751	0.9653452249788746	0.22043239262971068	0.00026730526490501954	9.307541814016975e-05	0.0
Bin_44	0.155154091392136	0.08023379383634431	1.0	0.0	0.0	0.0
Bin_45	0.2827006294256491	0.10257671125098347	0.9761014948859166	0.10734657749803304	0.05674665617623918	0.12927812745869394
Bin_46	0.9320371935756551	0.4976331360946746	0.7247675401521555	0.0	0.0	0.0
Bin_47	0.9041971607442024	0.4824971342915087	0.019883608147429677	0.39859800723040295	0.29349263733356845	0.38100696587602506
Bin_48	0.2913303233456469	0.9328681534181602	0.44527295115610893	0.004036119852236968	0.004036119852236968	0.0033520317416883294
Bin_49	0.7428308823529411	0.9818014705882353	0.8784926470588236	0.0	0.0	0.0
Bin_5	0.0046311630092353675	0.9990602879216187	0.005476518751877498	0.004467483651320604	0.0011727144584716585	0.0014846680582621488
Bin_50	0.9989554772163468	0.8420159289724507	0.8443661052356705	0.0	0.0	0.019715367541454497
Bin_51	0.9994191993619862	0.038743158977559713	0.02899090945867069	0.10234805272860718	0.014173269300785381	0.07428180100209782
Bin_52	0.003526041980625056	0.9999976294377771	0.004943976841638993	0.03705798327466756	0.033486561960062125	0.03486148804931853
Bin_53	0.9822709360503733	0.9892973179735431	0.9661729635177682	0.03443633102711926	0.04849001769745723	0.9555074251572434
Bin_54	0.0	0.0	0.9250749250749251	0.2727272727272727	0.2867132867132867	0.2787212787212787
Bin_55	0.0	0.4095368837566116	0.9885331287600436	0.0	0.0	0.0
Bin_56	0.0	0.14584070796460177	0.9752212389380531	0.05132743362831858	0.05168141592920354	0.05309734513274336
Bin_57	0.07061855670103093	0.5140893470790378	0.8967353951890035	0.0	0.0	0.05189003436426117
Bin_58	0.00208598689341171	0.9998596610904156	0.0069867459670327915	0.012129545248639689	0.0019056780412241106	0.001277705831881092
Bin_59	0.99568000937731	0.9905495872534124	0.9945714953721588	0.0002663626603243785	0.0003012334817864028	0.0
Bin_6	0.4368910083350401	0.5830843061684261	0.5663486721654347	0.04251149714200599	0.01137185263798122	0.2311158278873187
Bin_60	0.9702006411017452	0.9905021963670901	0.19197435593019113	0.0	0.0	0.0
Bin_61	0.8754458977407847	0.9533293697978596	0.9794887039239001	0.0	0.0	0.0
Bin_62	0.905147910306348	0.9497841878092431	0.9688388251394884	0.06190125276344879	0.009527318665122644	0.15170017896620697
Bin_63	0.8486295129866268	0.9331491392385827	0.8655913949685884	4.7046976995957284e-05	1.6182445390408997e-05	1.6182445390408997e-05
Bin_64	0.9816876122082585	0.940754039497307	0.9430879712746858	0.0	0.0	0.9798922800718133
Bin_65	0.07945837192083757	0.9996938865887273	0.22402123313934555	0.44197665778206385	0.1657695099803943	0.16169397382034623
Bin_66	0.9264305177111717	0.9930366333636088	0.737511353315168	0.0	0.0	0.6996669694217378
Bin_67	0.9229304657723225	0.6445936983224414	0.8565833340702682	0.04821499633006429	0.019997170170055093	0.03431876265685659
Bin_68	0.0	0.9960998439937597	0.0	0.31864274570982837	0.0	0.4496879875195008
Bin_7	0.17407400722564653	0.10482241213860487	0.9931124728135802	4.512268859027696e-05	6.813525977131821e-05	0.0
Bin_8	0.039472258726996105	0.7932201382538404	0.8667269584222401	0.0	0.00038018796762278895	0.00020254261637957428
Bin_9	0.9552785634100619	0.459668113501613	0.8295731973145	0.0	0.00030414868340744616	0.0
